Distribution,Group,Parameter,True_Value,Estimate,SE,CI_Lower,CI_Upper,Bias,Recovered_95CI,Scenario
LOGIT,1,Intercept,-2.5,-2.5102,0.0449,-2.5982,-2.4223,-0.0102,Yes,2-group linear (N=500)
LOGIT,1,Linear,0.3,0.3438,0.0666,0.2133,0.4743,0.0438,Yes,2-group linear (N=500)
LOGIT,2,Intercept,0.8,0.8313,0.0352,0.7624,0.9003,0.0313,Yes,2-group linear (N=500)
LOGIT,2,Linear,-0.5,-0.5093,0.0529,-0.6131,-0.4056,-0.0093,Yes,2-group linear (N=500)
LOGIT,1,Pi (proportion),0.65,0.6491,NA,NA,NA,-0.0009,Yes,2-group linear (N=500)
LOGIT,2,Pi (proportion),0.35,0.3509,NA,NA,NA,0.0009,Yes,2-group linear (N=500)
LOGIT,1,Intercept,-2.0,-2.017,0.0577,-2.1302,-1.9039,-0.017,Yes,2-group quadratic (N=500)
LOGIT,1,Linear,0.5,0.5147,0.0565,0.404,0.6254,0.0147,Yes,2-group quadratic (N=500)
LOGIT,1,Quadratic,0.3,0.2767,0.0934,0.0935,0.4598,-0.0233,Yes,2-group quadratic (N=500)
LOGIT,2,Intercept,0.5,0.5127,0.0442,0.4261,0.5993,0.0127,Yes,2-group quadratic (N=500)
LOGIT,2,Linear,-0.3,-0.2307,0.0435,-0.3161,-0.1454,0.0693,Yes,2-group quadratic (N=500)
LOGIT,2,Quadratic,-0.2,-0.1988,0.0735,-0.3429,-0.0547,0.0012,Yes,2-group quadratic (N=500)
LOGIT,1,Pi (proportion),0.6,0.5598,NA,NA,NA,-0.0402,Yes,2-group quadratic (N=500)
LOGIT,2,Pi (proportion),0.4,0.4402,NA,NA,NA,0.0402,Yes,2-group quadratic (N=500)
LOGIT,1,Intercept,-3.0,-3.0817,0.0548,-3.1891,-2.9743,-0.0817,Yes,3-group linear (N=800)
LOGIT,1,Linear,0.1,0.0258,0.0799,-0.1307,0.1824,-0.0742,Yes,3-group linear (N=800)
LOGIT,2,Intercept,-0.5,-0.4697,0.0365,-0.5413,-0.3982,0.0303,Yes,3-group linear (N=800)
LOGIT,2,Linear,0.8,0.8583,0.0513,0.7578,0.9588,0.0583,Yes,3-group linear (N=800)
LOGIT,3,Intercept,0.5,0.5617,0.0423,0.4788,0.6447,0.0617,Yes,3-group linear (N=800)
LOGIT,3,Linear,-0.3,-0.2912,0.0603,-0.4095,-0.1729,0.0088,Yes,3-group linear (N=800)
LOGIT,1,Pi (proportion),0.5,0.4884,NA,NA,NA,-0.0116,Yes,3-group linear (N=800)
LOGIT,2,Pi (proportion),0.3,0.3042,NA,NA,NA,0.0042,Yes,3-group linear (N=800)
LOGIT,3,Pi (proportion),0.2,0.2074,NA,NA,NA,0.0074,Yes,3-group linear (N=800)
